geo	year	month	backing_unsafely_mtd	brake_lights_defect_or_improper_mtd	bus_lane_driving_in_mtd	cell_phone_mtd	commercial_veh_on_pkwy_mtd	defective_brakes_mtd	disobey_sign_mtd	equipment_other_mtd	fail_to_keep_right_mtd	fail_to_signal_mtd	fail_to_stop_on_signal_mtd	following_too_closely_mtd	headlights_defect_or_improper_mtd	improper_lights_mtd	improper_passing_mtd	improper_turn_mtd	improper_missing_plates_mtd	not_giving_r_of_w_to_pedes_mtd	not_giving_r_of_w_to_veh_mtd	one_way_street_mtd	pavement_markings_mtd	safety_belt_mtd	school_bus_passing_stopped_mtd	speeding_mtd	spillback_mtd	tinted_windows_mtd	truck_routes_mtd	u_turn_mtd	uninspected_mtd	uninsured_mtd	unlicensed_operator_mtd	unregistered_mtd	unsafe_lane_change_mtd	other_movers_mtd	total_movers_mtd	backing_unsafely_ytd	brake_lights_defect_or_improper_ytd	bus_lane_driving_in_ytd	cell_phone_ytd	commercial_veh_on_pkwy_ytd	defective_brakes_ytd	disobey_sign_ytd	equipment_other_ytd	fail_to_keep_right_ytd	fail_to_signal_ytd	fail_to_stop_on_signal_ytd	following_too_closely_ytd	headlights_defect_or_improper_ytd	improper_lights_ytd	improper_passing_ytd	improper_turn_ytd	improper_missing_plates_ytd	not_giving_r_of_w_to_pedes_ytd	not_giving_r_of_w_to_veh_ytd	one_way_street_ytd	pavement_markings_ytd	safety_belt_ytd	school_bus_passing_stopped_ytd	speeding_ytd	spillback_ytd	tinted_windows_ytd	truck_routes_ytd	u_turn_ytd	uninspected_ytd	uninsured_ytd	unlicensed_operator_ytd	unregistered_ytd	unsafe_lane_change_ytd	other_movers_ytd	total_movers_ytd
1st Precinct	2011	8	1	41	8	247	0	0	89	0	0	3	39	0	34	1	2	22	0	5	0	8	1	106	0	6	4	31	0	1	2	36	34	6	6	40	773	2	333	70	1634	0	15	1247	0	8	50	474	3	431	3	32	287	1	63	3	179	207	909	27	23	93	124	1	36	18	253	239	60	40	242	7107
5th Precinct	2011	8	0	9	0	48	0	0	184	1	0	2	39	0	29	0	0	45	5	2	2	8	7	57	0	6	15	10	0	0	1	17	19	8	1	29	544	8	45	1	648	0	3	1988	20	15	44	303	3	63	0	16	911	16	118	11	119	131	581	11	50	166	65	1	36	8	119	135	50	46	416	6147
6th Precinct	2011	8	1	5	0	141	0	0	112	0	0	1	40	0	7	0	1	4	1	11	1	3	40	119	0	4	0	8	0	0	0	8	12	1	2	6	528	12	73	0	1381	0	1	784	5	0	59	644	8	120	1	19	278	9	151	9	80	359	1375	18	20	3	32	0	8	5	134	190	32	40	149	5999
7th Precinct	2011	8	0	0	0	148	0	0	22	0	0	0	22	0	0	19	0	58	0	19	0	0	0	57	0	0	27	10	8	0	2	9	15	4	0	46	466	7	0	0	1083	0	1	331	0	4	54	363	0	0	228	4	867	0	185	5	0	0	623	22	20	177	171	53	0	23	169	117	29	9	613	5158
9th Precinct	2011	8	0	16	1	252	0	0	73	0	0	33	89	1	8	0	0	85	0	11	0	2	12	88	0	0	1	8	0	2	1	22	34	5	8	28	780	3	265	12	1788	0	0	607	11	0	100	589	1	151	0	3	450	1	72	6	33	36	752	20	1	13	65	0	38	55	216	211	35	57	344	5935
10th Precinct	2011	8	2	13	0	140	0	0	31	0	0	4	25	0	14	0	1	11	0	17	0	3	10	304	1	1	2	18	10	1	9	10	36	9	3	26	701	9	216	0	1309	0	0	568	0	6	34	279	4	132	42	16	152	0	96	2	139	33	1757	24	7	22	173	123	16	131	258	321	139	39	378	6425
13th Precinct	2011	8	0	16	1	91	0	0	186	1	0	0	24	0	12	0	0	94	0	4	2	7	1	28	0	0	23	2	0	0	0	27	20	10	4	17	570	7	57	2	880	0	0	1348	10	3	38	228	2	63	0	10	1004	0	97	11	55	17	332	25	33	402	45	21	5	4	195	139	61	64	87	5245
MTS Precinct	2011	8	0	54	0	210	0	0	84	0	0	3	10	0	30	0	0	130	0	53	0	0	14	230	0	0	32	11	12	5	6	42	21	5	2	27	981	4	332	6	2349	0	1	1073	0	0	42	332	0	435	0	0	1279	1	737	1	39	48	2538	0	3	327	341	161	233	40	917	278	64	89	977	12647
17th Precinct	2011	8	0	35	2	48	0	0	255	0	0	14	28	0	13	0	0	156	0	29	0	1	29	50	0	0	2	11	0	0	1	102	9	14	29	32	860	6	126	102	1016	0	3	1216	16	1	432	564	1	61	0	126	1963	6	266	20	38	192	692	12	42	164	158	37	16	16	832	209	110	585	255	9283
MTN Precinct	2011	8	1	42	0	222	0	0	47	0	0	2	15	0	37	0	0	292	0	3	0	2	5	172	0	0	6	9	2	1	0	32	13	16	6	10	935	17	217	2	1564	0	0	145	2	1	43	620	9	127	0	4	2606	1	83	8	182	54	1505	12	7	137	144	59	40	10	311	166	103	108	187	8474
19th Precinct	2011	8	1	98	0	128	0	1	74	3	0	9	145	2	47	0	0	262	4	18	0	16	61	88	0	0	3	28	3	1	5	58	49	8	2	10	1124	21	636	190	1077	0	4	1553	29	0	166	1755	8	220	2	2	1637	36	225	9	410	272	629	76	12	46	428	44	4	41	765	408	108	88	283	11184
20th Precinct	2011	8	0	29	0	349	0	0	89	10	0	2	59	0	12	0	0	1	2	13	1	24	1	151	1	0	0	0	21	0	1	17	29	3	0	55	870	7	366	0	2521	8	0	1153	99	3	139	620	0	368	1	1	73	16	100	12	223	19	1299	74	1	4	39	258	29	5	208	246	43	47	277	8259
Central Park Precinct	2011	8	0	5	0	27	0	0	26	0	0	0	9	0	1	0	0	5	0	1	0	1	0	21	0	23	0	12	2	0	5	12	2	1	3	2	158	0	35	3	570	1	0	284	3	0	32	438	0	43	1	6	542	11	70	2	16	84	218	34	134	7	429	20	2	37	223	78	36	15	40	3414
23rd Precinct	2011	8	0	47	1	195	0	1	1	6	0	1	7	0	30	0	0	10	2	33	0	8	5	88	0	1	0	11	26	0	0	20	15	3	1	6	518	10	726	54	1583	0	2	103	56	2	41	170	1	381	5	3	101	10	119	4	81	18	1098	46	3	3	137	43	3	7	295	144	37	28	80	5394
24th Precinct	2011	8	2	9	0	185	0	0	106	3	0	0	13	1	3	0	0	0	0	12	0	5	4	87	0	0	0	13	3	0	1	36	16	2	3	22	526	14	172	0	1233	0	0	910	7	2	75	202	2	130	0	2	20	8	94	7	82	11	471	83	4	6	73	71	2	11	241	147	49	27	552	4708
25th Precinct	2011	8	0	2	0	117	0	0	1	0	0	0	1	0	7	0	0	48	0	1	0	3	41	139	0	0	0	7	26	0	1	6	5	2	0	17	424	4	487	0	993	0	15	265	0	0	5	176	1	225	10	2	421	1	101	2	190	135	1266	59	0	2	70	206	4	16	172	163	27	5	391	5414
26th Precinct	2011	8	0	12	0	88	0	0	25	6	2	6	65	0	18	0	0	26	0	20	1	2	6	65	0	3	8	10	1	8	2	16	15	1	0	15	421	7	189	0	1119	5	0	706	37	9	49	348	1	157	0	2	312	12	135	46	34	154	559	50	5	84	194	37	67	14	368	213	32	19	364	5328
